epoch,accuracy,loss,val_accuracy,val_loss
0,0.3591985,0.006498274992502043,0.30234116,0.005024242673613825
1,0.33415866,0.0020510611908810387,0.18863302,0.004878999210351275
2,0.33379734,0.0018558162782719386,0.40349948,0.007694701296652241
3,0.30307597,0.0015117969442945494,0.4827762,0.00630532109730863
4,0.3162422,0.001377699808326159,0.359871,0.006117201640050097
5,0.31316367,0.001444503176401668,0.3619065,0.006579231331771653
6,0.3090441,0.0013267876987728925,0.32769644,0.006499956533283858
7,0.3201732,0.0013449793513349924,0.385356,0.0069343086554389975
8,0.33420488,0.0012517894126313203,0.5350366,0.005727140908502217
9,0.34967372,0.0013146158785817402,0.3651657,0.005643981434150534
